image_path,true_label,category,dataset_role,semantic_category,transform_group,extension,original_size,original_label,resized_512_label,resized_768_label,resized_1024_label,score_original,score_512,score_768,score_1024,score_min,score_max,score_delta,flip_type,original_resolution_bucket
data\test_images\day14_expansion\paired_format\real_png\real_088_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,4284x5712,real,ai,ai,ai,0.103753,0.212679,0.216801,0.221046,0.103753,0.221046,0.117293,real_to_ai_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_016.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,3024x4032,real,ai,ai,ai,0.096813,0.213400,0.202060,0.189164,0.096813,0.213400,0.116587,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\indoor_home\real_023_indoor_home_native.jpeg,real,indoor_home,raw_source,indoor_home,raw,jpeg,3024x4032,ai,uncertain,ai,ai,0.259766,0.143344,0.238047,0.247108,0.143344,0.259766,0.116422,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_059_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,4032x3024,real,ai,ai,ai,0.104688,0.212178,0.221011,0.219756,0.104688,0.221011,0.116323,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_088_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,4284x5712,real,ai,ai,ai,0.106633,0.214537,0.218528,0.222673,0.106633,0.222673,0.116040,real_to_ai_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_014.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,4284x5712,uncertain,ai,ai,ai,0.130118,0.234557,0.241714,0.245953,0.130118,0.245953,0.115835,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_100_people_partial_png.png,real,real_png,paired_format,people_partial,real_png,png,2316x3088,ai,uncertain,uncertain,uncertain,0.246597,0.132737,0.134702,0.151785,0.132737,0.246597,0.113860,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_003_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,3024x4032,ai,uncertain,uncertain,uncertain,0.244164,0.142285,0.136409,0.130706,0.130706,0.244164,0.113458,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\lowlight_weather\real_039_lowlight_weather_native.jpeg,real,lowlight_weather,raw_source,lowlight_weather,raw,jpeg,4032x3024,uncertain,ai,ai,ai,0.127482,0.239464,0.238773,0.231497,0.127482,0.239464,0.111982,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_081_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,4284x5712,real,ai,ai,ai,0.093726,0.201452,0.204348,0.205108,0.093726,0.205108,0.111382,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_081_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,4284x5712,real,ai,ai,ai,0.095328,0.202529,0.205429,0.206280,0.095328,0.206280,0.110952,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_078_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,5712x4284,uncertain,ai,ai,ai,0.121499,0.221446,0.226111,0.228678,0.121499,0.228678,0.107179,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_059_nature_travel_jpg_q95.jpg,real,real_jpg,paired_format,nature_travel,real_jpg,jpg,4032x3024,real,ai,ai,ai,0.113999,0.212304,0.221060,0.219738,0.113999,0.221060,0.107061,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\object_closeup\real_066_object_closeup_native.jpeg,real,object_closeup,raw_source,object_closeup,raw,jpeg,3024x4032,real,ai,ai,uncertain,0.089956,0.196560,0.187593,0.175377,0.089956,0.196560,0.106604,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\people_partial\real_100_people_partial_native.jpeg,real,people_partial,raw_source,people_partial,raw,jpeg,2316x3088,ai,uncertain,uncertain,uncertain,0.237154,0.130597,0.130827,0.150011,0.130597,0.237154,0.106557,ai_to_uncertain_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_004.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,960x1280,ai,real,uncertain,uncertain,0.219579,0.114496,0.135731,0.170298,0.114496,0.219579,0.105083,ai_to_real_after_resize,large
data\test_images\day14_expansion\paired_format\real_png\real_062_object_closeup_png.png,real,real_png,paired_format,object_closeup,real_png,png,3024x4032,ai,uncertain,uncertain,uncertain,0.232041,0.141598,0.129493,0.127738,0.127738,0.232041,0.104303,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_059_nature_travel_png.png,real,real_png,paired_format,nature_travel,real_png,png,4032x3024,real,ai,ai,ai,0.114989,0.209746,0.219048,0.217746,0.114989,0.219048,0.104059,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_090_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,3024x4032,uncertain,ai,ai,ai,0.139185,0.229105,0.240383,0.242507,0.139185,0.242507,0.103322,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_039_lowlight_weather_jpg_q95.jpg,real,real_jpg,paired_format,lowlight_weather,real_jpg,jpg,4032x3024,uncertain,ai,ai,ai,0.136205,0.239423,0.238749,0.231467,0.136205,0.239423,0.103218,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_062_object_closeup_jpg_q95.jpg,real,real_jpg,paired_format,object_closeup,real_jpg,jpg,3024x4032,ai,uncertain,uncertain,uncertain,0.230462,0.142461,0.130342,0.128119,0.128119,0.230462,0.102343,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_039_lowlight_weather_png.png,real,real_png,paired_format,lowlight_weather,real_png,png,4032x3024,uncertain,ai,ai,ai,0.137118,0.238656,0.238101,0.230837,0.137118,0.238656,0.101538,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_076_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,4284x5712,real,ai,ai,ai,0.115553,0.204151,0.209962,0.216998,0.115553,0.216998,0.101445,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_084_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,3024x4032,uncertain,ai,ai,ai,0.120014,0.214034,0.219950,0.221316,0.120014,0.221316,0.101302,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_055_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,4032x3024,uncertain,ai,ai,ai,0.129655,0.218709,0.227441,0.229730,0.129655,0.229730,0.100075,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_078_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,5712x4284,uncertain,ai,ai,ai,0.130594,0.221422,0.226080,0.228643,0.130594,0.228643,0.098049,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_005_food_retail_png.png,real,real_png,paired_format,food_retail,real_png,png,4284x5712,ai,uncertain,uncertain,uncertain,0.241329,0.159168,0.149418,0.143476,0.143476,0.241329,0.097853,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_066_object_closeup_jpg_q95.jpg,real,real_jpg,paired_format,object_closeup,real_jpg,jpg,3024x4032,real,ai,ai,uncertain,0.098954,0.196558,0.187585,0.175450,0.098954,0.196558,0.097604,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_005_food_retail_jpg_q95.jpg,real,real_jpg,paired_format,food_retail,real_jpg,jpg,4284x5712,ai,uncertain,uncertain,uncertain,0.241387,0.161016,0.151017,0.144682,0.144682,0.241387,0.096705,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_078_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,5712x4284,uncertain,ai,ai,ai,0.131218,0.220552,0.225256,0.227895,0.131218,0.227895,0.096677,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_077_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,4284x5712,uncertain,ai,ai,ai,0.124029,0.211527,0.216231,0.220315,0.124029,0.220315,0.096286,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_009_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,3024x4032,uncertain,ai,ai,ai,0.120206,0.212782,0.215760,0.214129,0.120206,0.215760,0.095554,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_099_people_partial_png.png,real,real_png,paired_format,people_partial,real_png,png,1980x3520,ai,ai,uncertain,uncertain,0.242328,0.182048,0.160551,0.147009,0.147009,0.242328,0.095319,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_015_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,4032x3024,real,ai,ai,ai,0.092956,0.188256,0.188086,0.185545,0.092956,0.188256,0.095300,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_090_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,3024x4032,uncertain,ai,ai,ai,0.147788,0.229130,0.240395,0.242527,0.147788,0.242527,0.094739,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_085_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,5712x4284,uncertain,ai,ai,ai,0.123648,0.217809,0.215090,0.214045,0.123648,0.217809,0.094161,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_066_object_closeup_png.png,real,real_png,paired_format,object_closeup,real_png,png,3024x4032,real,ai,ai,uncertain,0.100350,0.194178,0.184930,0.172818,0.100350,0.194178,0.093828,real_to_ai_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_019.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,3024x4032,uncertain,ai,ai,ai,0.170343,0.253523,0.261676,0.264113,0.170343,0.264113,0.093770,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\object_closeup\real_062_object_closeup_native.jpeg,real,object_closeup,raw_source,object_closeup,raw,jpeg,3024x4032,ai,uncertain,uncertain,uncertain,0.221484,0.142446,0.130439,0.128055,0.128055,0.221484,0.093429,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_060_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,3024x4032,uncertain,ai,ai,ai,0.131314,0.224586,0.216606,0.206347,0.131314,0.224586,0.093272,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_090_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,3024x4032,uncertain,ai,ai,ai,0.148626,0.227931,0.239433,0.241590,0.148626,0.241590,0.092964,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_099_people_partial_jpg_q95.jpg,real,real_jpg,paired_format,people_partial,real_jpg,jpg,1980x3520,ai,ai,uncertain,uncertain,0.240302,0.184329,0.161325,0.147652,0.147652,0.240302,0.092650,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_084_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,3024x4032,uncertain,ai,ai,ai,0.128723,0.214031,0.219957,0.221364,0.128723,0.221364,0.092641,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_055_nature_travel_jpg_q95.jpg,real,real_jpg,paired_format,nature_travel,real_jpg,jpg,4032x3024,uncertain,ai,ai,ai,0.137715,0.218718,0.227460,0.229748,0.137715,0.229748,0.092033,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\object_closeup\real_069_object_closeup_native.jpeg,real,object_closeup,raw_source,object_closeup,raw,jpeg,3024x4032,real,ai,ai,uncertain,0.107398,0.198529,0.182045,0.173125,0.107398,0.198529,0.091131,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_031_lowlight_weather_png.png,real,real_png,paired_format,lowlight_weather,real_png,png,3024x4032,ai,uncertain,uncertain,uncertain,0.238598,0.163644,0.155430,0.147583,0.147583,0.238598,0.091015,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\ai_png\ai_069_object_closeup_png.png,ai,ai_png,paired_format,object_closeup,ai_png,png,1448x1086,ai,uncertain,uncertain,uncertain,0.225243,0.134548,0.137880,0.173660,0.134548,0.225243,0.090695,ai_to_uncertain_after_resize,large
data\test_images\day14_expansion\raw\ai\object_closeup\ai_069_object_closeup_native.png,ai,object_closeup,raw_source,object_closeup,raw,png,1448x1086,ai,uncertain,uncertain,uncertain,0.225243,0.134548,0.137880,0.173660,0.134548,0.225243,0.090695,ai_to_uncertain_after_resize,large
data\test_images\day14_expansion\paired_format\real_png\real_076_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,4284x5712,uncertain,ai,ai,ai,0.125113,0.202639,0.208577,0.215777,0.125113,0.215777,0.090664,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\object_closeup\real_067_object_closeup_native.jpeg,real,object_closeup,raw_source,object_closeup,raw,jpeg,3024x4032,real,ai,ai,ai,0.114761,0.205392,0.199130,0.194146,0.114761,0.205392,0.090631,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_012_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,4032x3024,uncertain,ai,ai,ai,0.126627,0.217057,0.206837,0.196055,0.126627,0.217057,0.090430,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_084_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,3024x4032,uncertain,ai,ai,ai,0.129643,0.212335,0.218324,0.219666,0.129643,0.219666,0.090023,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_031_lowlight_weather_jpg_q95.jpg,real,real_jpg,paired_format,lowlight_weather,real_jpg,jpg,3024x4032,ai,uncertain,uncertain,uncertain,0.236559,0.164208,0.155379,0.147027,0.147027,0.236559,0.089532,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_076_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,4284x5712,uncertain,ai,ai,ai,0.127500,0.204156,0.209962,0.217025,0.127500,0.217025,0.089525,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_055_nature_travel_png.png,real,real_png,paired_format,nature_travel,real_png,png,4032x3024,uncertain,ai,ai,ai,0.139110,0.215965,0.224922,0.227294,0.139110,0.227294,0.088184,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\outdoor_street\real_082_outdoor_street_native.jpeg,real,outdoor_street,raw_source,outdoor_street,raw,jpeg,4032x3024,uncertain,ai,ai,ai,0.143115,0.230758,0.220958,0.213754,0.143115,0.230758,0.087643,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_056_nature_travel_native.jpeg,real,nature_travel,raw_source,nature_travel,raw,jpeg,4032x3024,uncertain,ai,ai,ai,0.151936,0.236008,0.239368,0.238733,0.151936,0.239368,0.087432,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_009_food_retail_jpg_q95.jpg,real,real_jpg,paired_format,food_retail,real_jpg,jpg,3024x4032,uncertain,ai,ai,ai,0.128664,0.212744,0.215707,0.214100,0.128664,0.215707,0.087043,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\ai_jpg\ai_069_object_closeup_jpg_q95.jpg,ai,ai_jpg,paired_format,object_closeup,ai_jpg,jpg,1448x1086,ai,uncertain,uncertain,uncertain,0.221010,0.134246,0.137529,0.172161,0.134246,0.221010,0.086764,ai_to_uncertain_after_resize,large
data\test_images\day14_expansion\paired_format\real_jpg\real_015_food_retail_jpg_q95.jpg,real,real_jpg,paired_format,food_retail,real_jpg,jpg,4032x3024,real,ai,ai,ai,0.101766,0.188240,0.188040,0.185503,0.101766,0.188240,0.086474,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_005_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,4284x5712,ai,uncertain,uncertain,uncertain,0.230856,0.160990,0.150982,0.144596,0.144596,0.230856,0.086260,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\food_retail\real_001_food_retail_native.jpeg,real,food_retail,raw_source,food_retail,raw,jpeg,3024x4032,real,ai,ai,ai,0.104770,0.190420,0.189209,0.184463,0.104770,0.190420,0.085650,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_077_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,4284x5712,uncertain,ai,ai,ai,0.133615,0.210277,0.215014,0.219253,0.133615,0.219253,0.085638,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_085_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,5712x4284,uncertain,ai,ai,ai,0.132633,0.217829,0.215102,0.214071,0.132633,0.217829,0.085196,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_009_food_retail_png.png,real,real_png,paired_format,food_retail,real_png,png,3024x4032,uncertain,ai,ai,ai,0.129929,0.211845,0.214861,0.213208,0.129929,0.214861,0.084932,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_077_outdoor_street_jpg_q95.jpg,real,real_jpg,paired_format,outdoor_street,real_jpg,jpg,4284x5712,uncertain,ai,ai,ai,0.135654,0.211473,0.216215,0.220336,0.135654,0.220336,0.084682,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\ai_png\ai_091_people_partial_png.png,ai,ai_png,paired_format,people_partial,ai_png,png,1448x1086,ai,uncertain,uncertain,uncertain,0.206782,0.122121,0.125794,0.160154,0.122121,0.206782,0.084661,ai_to_uncertain_after_resize,large
data\test_images\day14_expansion\raw\ai\people_partial\ai_091_people_partial_native.png,ai,people_partial,raw_source,people_partial,raw,png,1448x1086,ai,uncertain,uncertain,uncertain,0.206782,0.122121,0.125794,0.160154,0.122121,0.206782,0.084661,ai_to_uncertain_after_resize,large
data\test_images\day14_expansion\paired_format\real_png\real_015_food_retail_png.png,real,real_png,paired_format,food_retail,real_png,png,4032x3024,real,ai,ai,ai,0.102736,0.187197,0.187059,0.184536,0.102736,0.187197,0.084461,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_060_nature_travel_jpg_q95.jpg,real,real_jpg,paired_format,nature_travel,real_jpg,jpg,3024x4032,uncertain,ai,ai,ai,0.140420,0.224569,0.216574,0.206319,0.140420,0.224569,0.084149,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_034_lowlight_weather_png.png,real,real_png,paired_format,lowlight_weather,real_png,png,3024x4032,ai,uncertain,uncertain,uncertain,0.241267,0.166686,0.162774,0.157249,0.157249,0.241267,0.084018,ai_to_uncertain_after_resize,xlarge
data\test_images\legacy\day8_small_30\real\real_005.jpg,real,day8_small_30,legacy,unknown,legacy,jpg,3024x4032,ai,uncertain,uncertain,uncertain,0.220945,0.144306,0.137600,0.137123,0.137123,0.220945,0.083822,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\people_partial\real_099_people_partial_native.jpg,real,people_partial,raw_source,people_partial,raw,jpg,1980x3520,ai,ai,uncertain,uncertain,0.231102,0.184241,0.161334,0.147550,0.147550,0.231102,0.083552,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_085_outdoor_street_png.png,real,real_png,paired_format,outdoor_street,real_png,png,5712x4284,uncertain,ai,ai,ai,0.133274,0.216770,0.213940,0.212857,0.133274,0.216770,0.083496,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_064_object_closeup_png.png,real,real_png,paired_format,object_closeup,real_png,png,3024x4032,ai,uncertain,uncertain,uncertain,0.225213,0.159292,0.149355,0.141854,0.141854,0.225213,0.083359,ai_to_uncertain_after_resize,xlarge
data\test_images\day14_expansion\raw\real\nature_travel\real_048_nature_travel_native.jpg,real,nature_travel,raw_source,nature_travel,raw,jpg,4096x3072,uncertain,ai,ai,ai,0.148958,0.206934,0.224663,0.232176,0.148958,0.232176,0.083218,uncertain_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_jpg\real_069_object_closeup_jpg_q95.jpg,real,real_jpg,paired_format,object_closeup,real_jpg,jpg,3024x4032,real,ai,ai,uncertain,0.115292,0.198418,0.182021,0.173116,0.115292,0.198418,0.083126,real_to_ai_after_resize,xlarge
data\test_images\day14_expansion\paired_format\real_png\real_060_nature_travel_png.png,real,real_png,paired_format,nature_travel,real_png,png,3024x4032,uncertain,ai,ai,ai,0.141050,0.224062,0.216086,0.205939,0.141050,0.224062,0.083012,uncertain_to_ai_after_resize,xlarge
