image_path,true_label,category,dataset_role,semantic_category,transform_group,is_main_dataset,base_id,filename,extension,file_size_kb,width,height,aspect_ratio,megapixels,image_mode,has_exif,difficulty,score,predicted_label,final_label,is_uncertain,threshold_used,detector_config_name,raw_false_positive,final_false_positive,false_positive,status,error_message
data\test_images\day14_expansion\resolution_control\long_1024\ai_007_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,007_food_retail,ai_007_food_retail_jpg_q95_long1024.jpg,jpg,288.33,1024,768,1.333333,0.786432,RGB,false,hard,0.193863,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_007_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,007_food_retail,ai_007_food_retail_png_long1024.png,png,1272.17,1024,768,1.333333,0.786432,RGB,false,hard,0.191431,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_008_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,008_food_retail,ai_008_food_retail_jpg_q95_long1024.jpg,jpg,369.37,1024,768,1.333333,0.786432,RGB,false,hard,0.178204,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_008_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,008_food_retail,ai_008_food_retail_png_long1024.png,png,1426.62,1024,768,1.333333,0.786432,RGB,false,hard,0.176236,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_009_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,009_food_retail,ai_009_food_retail_jpg_q95_long1024.jpg,jpg,295.06,1024,768,1.333333,0.786432,RGB,false,hard,0.180938,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_009_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,009_food_retail,ai_009_food_retail_png_long1024.png,png,1264.94,1024,768,1.333333,0.786432,RGB,false,hard,0.178313,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_010_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,010_food_retail,ai_010_food_retail_jpg_q95_long1024.jpg,jpg,227.88,1024,768,1.333333,0.786432,RGB,false,hard,0.146491,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_010_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,010_food_retail,ai_010_food_retail_png_long1024.png,png,1103.72,1024,768,1.333333,0.786432,RGB,false,hard,0.144993,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_011_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,011_food_retail,ai_011_food_retail_jpg_q95_long1024.jpg,jpg,214.46,1024,768,1.333333,0.786432,RGB,false,hard,0.144481,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_011_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,011_food_retail,ai_011_food_retail_png_long1024.png,png,1076.37,1024,768,1.333333,0.786432,RGB,false,hard,0.142881,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_012_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,012_food_retail,ai_012_food_retail_jpg_q95_long1024.jpg,jpg,395.56,1024,768,1.333333,0.786432,RGB,false,hard,0.209767,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_012_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,012_food_retail,ai_012_food_retail_png_long1024.png,png,1496.75,1024,768,1.333333,0.786432,RGB,false,hard,0.208382,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_013_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,013_food_retail,ai_013_food_retail_jpg_q95_long1024.jpg,jpg,265.57,1024,768,1.333333,0.786432,RGB,false,hard,0.164671,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_013_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,013_food_retail,ai_013_food_retail_png_long1024.png,png,1187.57,1024,768,1.333333,0.786432,RGB,false,hard,0.162593,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_014_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,014_food_retail,ai_014_food_retail_jpg_q95_long1024.jpg,jpg,229.76,1024,768,1.333333,0.786432,RGB,false,hard,0.167169,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_014_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,014_food_retail,ai_014_food_retail_png_long1024.png,png,1071.31,1024,768,1.333333,0.786432,RGB,false,hard,0.165291,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_015_food_retail_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,food_retail,long_1024,false,015_food_retail,ai_015_food_retail_jpg_q95_long1024.jpg,jpg,262.55,1024,768,1.333333,0.786432,RGB,false,hard,0.167258,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_015_food_retail_png_long1024.png,ai,long_1024,resolution_control,food_retail,long_1024,false,015_food_retail,ai_015_food_retail_png_long1024.png,png,1205.57,1024,768,1.333333,0.786432,RGB,false,hard,0.164172,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_016_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,016_indoor_home,ai_016_indoor_home_jpg_q95_long1024.jpg,jpg,315.47,1024,768,1.333333,0.786432,RGB,false,hard,0.181168,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_016_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,016_indoor_home,ai_016_indoor_home_png_long1024.png,png,1341.88,1024,768,1.333333,0.786432,RGB,false,hard,0.178925,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_017_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,017_indoor_home,ai_017_indoor_home_jpg_q95_long1024.jpg,jpg,247.36,1024,768,1.333333,0.786432,RGB,false,hard,0.160429,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_017_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,017_indoor_home,ai_017_indoor_home_png_long1024.png,png,1157.09,1024,768,1.333333,0.786432,RGB,false,hard,0.158116,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_018_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,018_indoor_home,ai_018_indoor_home_jpg_q95_long1024.jpg,jpg,227.54,1024,768,1.333333,0.786432,RGB,false,hard,0.16751,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_018_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,018_indoor_home,ai_018_indoor_home_png_long1024.png,png,1108.74,1024,768,1.333333,0.786432,RGB,false,hard,0.165695,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_019_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,019_indoor_home,ai_019_indoor_home_jpg_q95_long1024.jpg,jpg,232.4,1024,768,1.333333,0.786432,RGB,false,hard,0.18899,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_019_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,019_indoor_home,ai_019_indoor_home_png_long1024.png,png,1129.96,1024,768,1.333333,0.786432,RGB,false,hard,0.185373,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_020_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,020_indoor_home,ai_020_indoor_home_jpg_q95_long1024.jpg,jpg,197.49,1024,768,1.333333,0.786432,RGB,false,hard,0.178318,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_020_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,020_indoor_home,ai_020_indoor_home_png_long1024.png,png,1047.45,1024,768,1.333333,0.786432,RGB,false,hard,0.175953,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_021_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,021_indoor_home,ai_021_indoor_home_jpg_q95_long1024.jpg,jpg,229.71,1024,768,1.333333,0.786432,RGB,false,hard,0.182936,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_021_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,021_indoor_home,ai_021_indoor_home_png_long1024.png,png,1107.88,1024,768,1.333333,0.786432,RGB,false,hard,0.1809,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_022_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,022_indoor_home,ai_022_indoor_home_jpg_q95_long1024.jpg,jpg,146.64,1024,768,1.333333,0.786432,RGB,false,hard,0.155043,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_022_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,022_indoor_home,ai_022_indoor_home_png_long1024.png,png,855.5,1024,768,1.333333,0.786432,RGB,false,hard,0.154161,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_023_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,023_indoor_home,ai_023_indoor_home_jpg_q95_long1024.jpg,jpg,193.05,1024,768,1.333333,0.786432,RGB,false,hard,0.172174,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_023_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,023_indoor_home,ai_023_indoor_home_png_long1024.png,png,1048.15,1024,768,1.333333,0.786432,RGB,false,hard,0.169811,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_024_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,024_indoor_home,ai_024_indoor_home_jpg_q95_long1024.jpg,jpg,228.91,1024,768,1.333333,0.786432,RGB,false,hard,0.15147,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_024_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,024_indoor_home,ai_024_indoor_home_png_long1024.png,png,1070.66,1024,768,1.333333,0.786432,RGB,false,hard,0.148881,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_025_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,025_indoor_home,ai_025_indoor_home_jpg_q95_long1024.jpg,jpg,242.12,1024,768,1.333333,0.786432,RGB,false,hard,0.183707,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_025_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,025_indoor_home,ai_025_indoor_home_png_long1024.png,png,1116.74,1024,768,1.333333,0.786432,RGB,false,hard,0.181246,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_026_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,026_indoor_home,ai_026_indoor_home_jpg_q95_long1024.jpg,jpg,236.65,1024,768,1.333333,0.786432,RGB,false,hard,0.179823,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_026_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,026_indoor_home,ai_026_indoor_home_png_long1024.png,png,1112.1,1024,768,1.333333,0.786432,RGB,false,hard,0.177619,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_027_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,027_indoor_home,ai_027_indoor_home_jpg_q95_long1024.jpg,jpg,243.33,1024,768,1.333333,0.786432,RGB,false,hard,0.157845,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_027_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,027_indoor_home,ai_027_indoor_home_png_long1024.png,png,1147.99,1024,768,1.333333,0.786432,RGB,false,hard,0.156197,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_028_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,028_indoor_home,ai_028_indoor_home_jpg_q95_long1024.jpg,jpg,239.21,1024,768,1.333333,0.786432,RGB,false,hard,0.133836,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_028_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,028_indoor_home,ai_028_indoor_home_png_long1024.png,png,1098.28,1024,768,1.333333,0.786432,RGB,false,hard,0.132149,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_029_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,029_indoor_home,ai_029_indoor_home_jpg_q95_long1024.jpg,jpg,170.09,1024,768,1.333333,0.786432,RGB,false,hard,0.151905,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_029_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,029_indoor_home,ai_029_indoor_home_png_long1024.png,png,989.44,1024,768,1.333333,0.786432,RGB,false,hard,0.154246,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_030_indoor_home_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,indoor_home,long_1024,false,030_indoor_home,ai_030_indoor_home_jpg_q95_long1024.jpg,jpg,220.34,1024,768,1.333333,0.786432,RGB,false,hard,0.168054,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_030_indoor_home_png_long1024.png,ai,long_1024,resolution_control,indoor_home,long_1024,false,030_indoor_home,ai_030_indoor_home_png_long1024.png,png,1104.89,1024,768,1.333333,0.786432,RGB,false,hard,0.16653,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_031_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,031_lowlight_weather,ai_031_lowlight_weather_jpg_q95_long1024.jpg,jpg,237.8,1024,768,1.333333,0.786432,RGB,false,hard,0.210007,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_031_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,031_lowlight_weather,ai_031_lowlight_weather_png_long1024.png,png,1137.91,1024,768,1.333333,0.786432,RGB,false,hard,0.207022,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_032_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,032_lowlight_weather,ai_032_lowlight_weather_jpg_q95_long1024.jpg,jpg,171.12,1024,768,1.333333,0.786432,RGB,false,hard,0.190392,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_032_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,032_lowlight_weather,ai_032_lowlight_weather_png_long1024.png,png,939.65,1024,768,1.333333,0.786432,RGB,false,hard,0.18993,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_033_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,033_lowlight_weather,ai_033_lowlight_weather_jpg_q95_long1024.jpg,jpg,169.6,1024,768,1.333333,0.786432,RGB,false,hard,0.15226,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_033_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,033_lowlight_weather,ai_033_lowlight_weather_png_long1024.png,png,909.69,1024,768,1.333333,0.786432,RGB,false,hard,0.15151,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_034_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,034_lowlight_weather,ai_034_lowlight_weather_jpg_q95_long1024.jpg,jpg,255.36,1024,768,1.333333,0.786432,RGB,false,hard,0.21954,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_034_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,034_lowlight_weather,ai_034_lowlight_weather_png_long1024.png,png,1191.84,1024,768,1.333333,0.786432,RGB,false,hard,0.216993,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_035_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,035_lowlight_weather,ai_035_lowlight_weather_jpg_q95_long1024.jpg,jpg,290.84,1024,768,1.333333,0.786432,RGB,false,hard,0.22293,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_035_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,035_lowlight_weather,ai_035_lowlight_weather_png_long1024.png,png,1274.93,1024,768,1.333333,0.786432,RGB,false,hard,0.220233,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_036_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,036_lowlight_weather,ai_036_lowlight_weather_jpg_q95_long1024.jpg,jpg,293.9,1024,768,1.333333,0.786432,RGB,false,hard,0.198163,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_036_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,036_lowlight_weather,ai_036_lowlight_weather_png_long1024.png,png,1266.0,1024,768,1.333333,0.786432,RGB,false,hard,0.195893,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_037_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,037_lowlight_weather,ai_037_lowlight_weather_jpg_q95_long1024.jpg,jpg,123.46,1024,768,1.333333,0.786432,RGB,false,hard,0.137415,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_037_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,037_lowlight_weather,ai_037_lowlight_weather_png_long1024.png,png,746.62,1024,768,1.333333,0.786432,RGB,false,hard,0.136361,real,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_038_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,038_lowlight_weather,ai_038_lowlight_weather_jpg_q95_long1024.jpg,jpg,245.24,1024,768,1.333333,0.786432,RGB,false,hard,0.178505,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_038_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,038_lowlight_weather,ai_038_lowlight_weather_png_long1024.png,png,1167.04,1024,768,1.333333,0.786432,RGB,false,hard,0.177228,ai,uncertain,true,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_039_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,039_lowlight_weather,ai_039_lowlight_weather_jpg_q95_long1024.jpg,jpg,270.86,1024,768,1.333333,0.786432,RGB,false,hard,0.189079,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_039_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,039_lowlight_weather,ai_039_lowlight_weather_png_long1024.png,png,1130.68,1024,768,1.333333,0.786432,RGB,false,hard,0.186954,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_040_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,040_lowlight_weather,ai_040_lowlight_weather_jpg_q95_long1024.jpg,jpg,252.12,1024,768,1.333333,0.786432,RGB,false,hard,0.216536,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_040_lowlight_weather_png_long1024.png,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,040_lowlight_weather,ai_040_lowlight_weather_png_long1024.png,png,1192.76,1024,768,1.333333,0.786432,RGB,false,hard,0.214935,ai,ai,false,0.150000,baseline,false,false,false,success,
data\test_images\day14_expansion\resolution_control\long_1024\ai_041_lowlight_weather_jpg_q95_long1024.jpg,ai,long_1024,resolution_control,lowlight_weather,long_1024,false,041_lowlight_weather,ai_041_lowlight_weather_jpg_q95_long1024.jpg,jpg,172.0,1024,768,1.333333,0.786432,RGB,false,hard,0.164305,ai,uncertain,true,0.150000,baseline,false,false,false,success,
