image_path,true_label,category,format,has_exif,original_score,resize_mean_score,resize_delta,mean_score,median_score,min_score,max_score,score_std,score_range,ai_vote_count,real_vote_count,resolution_flip_count,final_label_v2,final_label_v21,decision_reason_v2,decision_reason_v21,is_correct_when_definite_v21,raw_label_at_0_15
data\test_images\day14_expansion\paired_format\ai_jpg\ai_013_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.15081,0.167342,0.016532,0.163209,0.165666,0.15081,0.170696,0.007481,0.019886,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_014_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.14523,0.173795,0.028565,0.166654,0.170915,0.14523,0.179556,0.013132,0.034326,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_015_food_retail_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.158376,0.163344,0.004968,0.162102,0.161387,0.158376,0.167258,0.003593,0.008882,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_016_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.172683,0.182111,0.009428,0.179754,0.181426,0.172683,0.183481,0.004172,0.010798,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_017_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.140484,0.167825,0.027341,0.16099,0.164984,0.140484,0.173509,0.012753,0.033025,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_018_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.155609,0.167237,0.011628,0.16433,0.166393,0.155609,0.168925,0.0052,0.013316,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_019_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.182392,0.178523,-0.003869,0.17949,0.18163,0.16571,0.18899,0.008521,0.02328,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_020_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.163685,0.172925,0.00924,0.170615,0.170229,0.163685,0.178318,0.006741,0.014633,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_021_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.168238,0.180178,0.01194,0.177193,0.178798,0.168238,0.182936,0.006162,0.014698,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_022_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.132116,0.161235,0.029119,0.153955,0.159189,0.132116,0.165327,0.013186,0.033211,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_023_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.15823,0.16987,0.01164,0.16696,0.168718,0.15823,0.172174,0.005559,0.013944,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_024_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.122925,0.166176,0.043251,0.155363,0.159529,0.122925,0.179468,0.021201,0.056543,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_025_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.168455,0.179157,0.010702,0.176481,0.176881,0.168455,0.183707,0.006549,0.015252,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_026_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.148956,0.190866,0.04191,0.180389,0.186517,0.148956,0.199564,0.019496,0.050608,3,1,1,ai,uncertain,stable_ai_high_confidence,stable_ai_but_resize_biased,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_027_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.144006,0.163577,0.019571,0.158684,0.160861,0.144006,0.169007,0.00935,0.025001,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_028_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.116493,0.14883,0.032337,0.140745,0.140376,0.116493,0.165737,0.018018,0.049244,1,3,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_029_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.14814,0.148611,0.000471,0.148494,0.149166,0.143738,0.151905,0.003052,0.008167,2,2,2,uncertain,uncertain,weak_vote_majority,weak_vote_majority_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_030_indoor_home_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.151092,0.171337,0.020245,0.166276,0.170133,0.151092,0.173747,0.00901,0.022655,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_031_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.199049,0.203658,0.004609,0.202506,0.2024,0.195215,0.210007,0.005742,0.014792,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_032_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.168121,0.194766,0.026645,0.188105,0.193278,0.168121,0.197743,0.011858,0.029622,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_033_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.133791,0.156452,0.022661,0.150787,0.154744,0.133791,0.15987,0.010186,0.026079,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_034_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.191279,0.220692,0.029413,0.213339,0.218301,0.191279,0.225474,0.013098,0.034195,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_035_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.197107,0.223242,0.026135,0.216708,0.220931,0.197107,0.227865,0.011751,0.030758,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_036_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.178706,0.202083,0.023377,0.196239,0.200552,0.178706,0.205144,0.010432,0.026438,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_037_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.152932,0.144144,-0.008788,0.146341,0.147509,0.137415,0.152932,0.005995,0.015517,2,2,2,uncertain,uncertain,weak_vote_majority,weak_vote_majority_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_038_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.150864,0.191368,0.040504,0.181242,0.185949,0.150864,0.202208,0.019478,0.051344,4,0,0,ai,uncertain,stable_ai_high_confidence,stable_ai_but_resize_biased,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_039_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.17257,0.187106,0.014536,0.183472,0.185673,0.17257,0.189971,0.006964,0.017401,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_040_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.192899,0.215836,0.022937,0.210102,0.213838,0.192899,0.219832,0.010405,0.026933,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_041_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.213678,0.157239,-0.056439,0.171349,0.161668,0.14838,0.213678,0.025103,0.065298,3,1,1,uncertain,uncertain,resolution_flip,resolution_flip_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_042_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.186797,0.215169,0.028372,0.208076,0.212504,0.186797,0.220501,0.012861,0.033704,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_043_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.137148,0.175378,0.03823,0.165821,0.169223,0.137148,0.187689,0.018799,0.050541,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_044_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.187795,0.20132,0.013525,0.197939,0.199786,0.187795,0.204389,0.006652,0.016594,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_045_lowlight_weather_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.17365,0.224423,0.050773,0.21173,0.218573,0.17365,0.236123,0.023829,0.062473,4,0,0,uncertain,uncertain,unstable_score_range,unstable_score_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_046_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.182559,0.195265,0.012706,0.192088,0.192281,0.182559,0.201233,0.008249,0.018674,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_047_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.190122,0.204108,0.013986,0.200611,0.202767,0.190122,0.20679,0.00676,0.016668,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_048_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.21219,0.254776,0.042586,0.244129,0.252626,0.21219,0.259076,0.018858,0.046886,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_049_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.175567,0.210212,0.034645,0.20155,0.207704,0.175567,0.215227,0.015324,0.03966,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_050_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.192958,0.251078,0.05812,0.236548,0.22986,0.192958,0.293513,0.036366,0.100555,4,0,0,uncertain,uncertain,unstable_score_std,stable_ai_but_resize_biased,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_051_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.157299,0.176821,0.019522,0.17194,0.176079,0.157299,0.178304,0.008539,0.021005,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_052_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.18141,0.21844,0.03703,0.209182,0.215001,0.18141,0.225317,0.016964,0.043907,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_053_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.18655,0.214645,0.028095,0.207621,0.212853,0.18655,0.21823,0.012363,0.03168,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_054_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.208968,0.2468,0.037832,0.237342,0.245317,0.208968,0.249765,0.016668,0.040797,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_055_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.194432,0.221582,0.02715,0.214794,0.219228,0.194432,0.226289,0.012261,0.031857,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_056_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.212944,0.21519,0.002246,0.214628,0.215705,0.201857,0.225246,0.008565,0.023389,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_057_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.192657,0.205794,0.013137,0.20251,0.202989,0.192657,0.211405,0.008274,0.018748,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_058_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.204306,0.251256,0.04695,0.239518,0.248412,0.204306,0.256944,0.021107,0.052638,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_059_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.212522,0.238578,0.026056,0.232064,0.236804,0.212522,0.242125,0.01159,0.029603,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_060_nature_travel_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.213175,0.217426,0.004251,0.216363,0.21776,0.201862,0.228071,0.009916,0.026209,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_061_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.195252,0.219759,0.024507,0.213633,0.217839,0.195252,0.2236,0.011039,0.028348,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_062_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.198349,0.21748,0.019131,0.212697,0.215855,0.198349,0.220731,0.008616,0.022382,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_063_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.201624,0.219727,0.018103,0.215201,0.216701,0.201624,0.225778,0.010441,0.024154,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_064_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.139138,0.170295,0.031157,0.162506,0.167147,0.139138,0.176592,0.014382,0.037454,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_065_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.145129,0.178237,0.033108,0.16996,0.175312,0.145129,0.184086,0.01484,0.038957,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_066_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.16765,0.190328,0.022678,0.184659,0.189151,0.16765,0.192682,0.01005,0.025032,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_067_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.139989,0.159956,0.019967,0.154964,0.157678,0.139989,0.164511,0.009085,0.024522,3,1,1,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,real
data\test_images\day14_expansion\paired_format\ai_jpg\ai_068_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.200012,0.22887,0.028858,0.221656,0.22653,0.200012,0.23355,0.012894,0.033538,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_069_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.22101,0.147979,-0.073031,0.166237,0.154845,0.134246,0.22101,0.034938,0.086764,2,2,1,uncertain,uncertain,resolution_flip,resolution_flip_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_070_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.195141,0.175402,-0.019739,0.180337,0.186371,0.151675,0.19693,0.01819,0.045255,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_071_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.156276,0.201885,0.045609,0.190483,0.198879,0.156276,0.207898,0.020704,0.051622,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_072_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.16149,0.180469,0.018979,0.175724,0.178807,0.16149,0.183792,0.008496,0.022302,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_073_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.178281,0.23616,0.057879,0.22169,0.227568,0.178281,0.253344,0.028008,0.075063,4,0,0,uncertain,uncertain,unstable_score_range,stable_ai_but_resize_biased,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_074_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.15688,0.189926,0.033046,0.181664,0.187133,0.15688,0.195512,0.015137,0.038632,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_075_object_closeup_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.210822,0.217889,0.007067,0.216122,0.216581,0.206198,0.225129,0.007848,0.018931,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_076_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.193969,0.227227,0.033258,0.218913,0.225489,0.193969,0.230703,0.014591,0.036734,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_077_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.176605,0.21384,0.037235,0.204531,0.210967,0.176605,0.219586,0.016889,0.042981,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_078_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.198327,0.220574,0.022247,0.215012,0.21889,0.198327,0.22394,0.010045,0.025613,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_079_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.173735,0.197752,0.024017,0.191748,0.19624,0.173735,0.200776,0.010578,0.027041,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_080_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.191185,0.206868,0.015683,0.202948,0.205687,0.191185,0.209231,0.007185,0.018046,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_081_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.206136,0.21652,0.010384,0.213924,0.213022,0.205992,0.22366,0.007971,0.017668,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_082_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.199789,0.21905,0.019261,0.214234,0.217572,0.199789,0.222005,0.00869,0.022216,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_083_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.185383,0.21077,0.025387,0.204423,0.209168,0.185383,0.213972,0.011171,0.028589,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_084_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.188469,0.218252,0.029783,0.210806,0.216599,0.188469,0.221559,0.013078,0.03309,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_085_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.166582,0.185309,0.018727,0.180627,0.184749,0.166582,0.186431,0.008156,0.019849,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_086_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.172729,0.210781,0.038052,0.201268,0.206487,0.172729,0.219368,0.017749,0.046639,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_087_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.17465,0.216854,0.042204,0.206303,0.2131,0.17465,0.224362,0.019444,0.049712,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_088_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.168605,0.181467,0.012862,0.178252,0.179696,0.168605,0.185009,0.006913,0.016404,4,0,0,uncertain,uncertain,near_threshold_band,near_threshold_band_v21,,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_089_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.196035,0.212802,0.016767,0.20861,0.211643,0.196035,0.21512,0.007716,0.019085,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_090_outdoor_street_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.190061,0.217995,0.027934,0.211011,0.21635,0.190061,0.221285,0.012266,0.031224,4,0,0,ai,ai,stable_ai_high_confidence,stable_ai_high_confidence_v21,true,ai
data\test_images\day14_expansion\paired_format\ai_jpg\ai_091_people_partial_jpg_q95.jpg,ai,ai_jpg,jpg,false,0.203972,0.136537,-0.067435,0.153395,0.143323,0.122964,0.203972,0.032596,0.081008,2,2,1,uncertain,uncertain,resolution_flip,resolution_flip_v21,,ai
