class_label,filename,path,extension,sha256,file_size_kb,width,height,is_duplicate,duplicate_count
ai,ai_026.png,data\test_images\ai\ai_026.png,.png,0450886b21142ec99a4ab1cd7ff57a56d647bd56b298227c5f30b42d823f9bab,2195.24,1448,1086,no,1
ai,ai_027.png,data\test_images\ai\ai_027.png,.png,097b7e10719d7a1c33d33e6ce252adb3ef10b79ff8f3fb9098f0d05868b08528,2516.92,1448,1086,no,1
ai,ai_028.png,data\test_images\ai\ai_028.png,.png,56522b2be3ed5b1687bc4e64c191eaedc1367e73e7e73c072e74f0354acd1bae,2814.17,1448,1086,no,1
ai,ai_029.png,data\test_images\ai\ai_029.png,.png,ba037c9192da34d23e13d5300f8c16165a49a28c577ffe3a501a357ab15878da,2641.68,1448,1086,no,1
ai,ai_030.png,data\test_images\ai\ai_030.png,.png,8b3421a5e459e24601ddf1ce855601cacd8a4c71c00922de147772efd019c016,2498.88,1448,1086,no,1
real,real_001.jpg,data\test_images\real\real_001.jpg,.jpg,ea7bb62c6a09e5ebd3077beb508dc86e08764cbca8c4b62d6b16ff21eeb4840b,522.12,1279,1706,no,1
real,real_002.jpg,data\test_images\real\real_002.jpg,.jpg,f173480e722c0e4a76d1fcd2bb1134baa1f5d2091a37e1fbd12a070b96a8e268,424.49,1280,1707,no,1
real,real_003.jpg,data\test_images\real\real_003.jpg,.jpg,47aab8e0f72bf366be320b99ed63a8665f1b971b82cf907cb55fd8ba9d28494c,132.16,960,1280,no,1
real,real_004.jpg,data\test_images\real\real_004.jpg,.jpg,8eabe55e9da2f110240e6188af9d53ab1f062655557fcc79f0a02fe309f5d955,60.60,960,1280,no,1
real,real_005.jpg,data\test_images\real\real_005.jpg,.jpg,a31d6eba57d1a74649a998711068b14234bcce0e4229b1e33d6e70539d3b7b55,1846.33,4032,3024,no,1
real,real_006.jpg,data\test_images\real\real_006.jpg,.jpg,1337ba71bf5ff20ca3c9d1dbb12c335f6b4895bba3d4428adf327020d34e5368,82.28,960,1280,no,1
real,real_007.jpg,data\test_images\real\real_007.jpg,.jpg,fd0f4059e06aa3b875312c4050e8f21d6e11081e2c417136d6ab1ee417a42ff1,120.04,960,1280,no,1
real,real_008.jpg,data\test_images\real\real_008.jpg,.jpg,9826bdcbb4e10a1c4b5fabfdbf4c52e52cedc5af93ff68c8e6a01fc72380e042,176.88,960,1280,no,1
real,real_009.jpg,data\test_images\real\real_009.jpg,.jpg,5a0febe2cb2e5db427a07cb0a485e4f12c80801aef40b60295f0a3a4bb0faf9a,103.16,884,1916,no,1
real,real_010.jpg,data\test_images\real\real_010.jpg,.jpg,68a218d8587b3004a979de0a3ff8d593c484ee5c776bcb6139f4be5703c38ea3,3919.56,4672,7008,no,1
real,real_011.jpg,data\test_images\real\real_011.jpg,.jpg,0c667a06633868d10a50632b060a883ea4702d61d20dbe9ba085ffaf1a4ed141,3464.64,4032,3024,no,1
real,real_012.jpg,data\test_images\real\real_012.jpg,.jpg,789e9627d3a6496f75ce4e38ed4ba629da5e09d2edd656065c59f93d8afbf040,2714.85,4032,3024,no,1
real,real_013.jpg,data\test_images\real\real_013.jpg,.jpg,2df5d0ec1ba3e8b33f0191f2573097fdfb3cb544bb714dc71c9795caa26422d6,2841.06,4032,3024,no,1
real,real_014.jpg,data\test_images\real\real_014.jpg,.jpg,dc57a9606b053f3d9faf5d9d2017321e78d1d5c3284e7226b9024b433650d948,13537.68,5712,4284,no,1
real,real_015.jpg,data\test_images\real\real_015.jpg,.jpg,2e51a67ba1c24dae40e9c602fef29a068ad8fa8be4db589c9557294e3668cce2,5712.84,5712,4284,no,1
real,real_016.jpg,data\test_images\real\real_016.jpg,.jpg,7845181beb709d72359265b453d98db39509f8b17071b192ff1ddcbb504a152f,4451.29,4032,3024,no,1
real,real_017.jpg,data\test_images\real\real_017.jpg,.jpg,d742802ea14a259966ef214b8b1191d82ed094e23b546dac8cdac49ba5560ba8,6106.96,4032,3024,no,1
real,real_018.jpg,data\test_images\real\real_018.jpg,.jpg,e294a4562aa25231a96649de8dd0c7b5e9fba8692c77747810409db869d6a134,3533.12,4032,3024,no,1
real,real_019.jpg,data\test_images\real\real_019.jpg,.jpg,b13d7bb1313632d64bed3e3ab7138752a8f56b9db51c013dc64c310080bf2570,5596.72,4032,3024,no,1
real,real_020.jpg,data\test_images\real\real_020.jpg,.jpg,b14f76295361da612b94d60f34e156fbdcfb73bc52a8a387a001eec3f19d2282,2546.08,4032,3024,no,1
real,real_021.jpg,data\test_images\real\real_021.jpg,.jpg,6823c1ca298355668c273d1fa03d757a547fd6290aca2f52f2bcc5411624c424,49.23,720,1280,no,1
real,real_022.jpg,data\test_images\real\real_022.jpg,.jpg,446887dbbb213e6982d92e05df93f100e3998b60f3fc5a5ba9b5d7ac281b1afb,258.04,1179,2556,no,1
real,real_023.jpg,data\test_images\real\real_023.jpg,.jpg,34c8f581c0261da4475eb56d96d354b1147f0b0d4a7548ae449b58cc3e716e2e,99.10,884,1916,no,1
real,real_024.jpg,data\test_images\real\real_024.jpg,.jpg,1688e1be53ce1b2a7a9003d6660e7f1e2f1062de73a96d09715b17b236337fff,171.29,2016,1225,no,1
real,real_025.jpg,data\test_images\real\real_025.jpg,.jpg,30d0cce599f793cff9427a07c6cf6213b70759d8f1234b2dd476710ce8492fd0,428.21,1279,1706,no,1
real,real_026.jpg,data\test_images\real\real_026.jpg,.jpg,01ddd35a385e64d9c5165d9061258e536c70e04e6d30bf832ce008cb0ec03112,454.53,1500,1279,no,1
real,real_027.jpg,data\test_images\real\real_027.jpg,.jpg,ca410f9a1e23cbe016765fb0a37764788f4d0f675a8a32671332c8e6fca07cfd,770.49,1279,1706,no,1
real,real_028.jpg,data\test_images\real\real_028.jpg,.jpg,604503e14c51b55ce4e7ff783036eea3354f29bb872b522df483993e8edc68ba,737.58,1279,1706,no,1
real,real_029.jpg,data\test_images\real\real_029.jpg,.jpg,e887079b40f31d9a6a43df3ec5551e00737b67b101aa072099fdb7721264d521,170.95,1179,2556,no,1
real,real_030.jpg,data\test_images\real\real_030.jpg,.jpg,f0e0691d594e82afdee37d3b16713e160e65165040a7e76c390c2aaa19f9c5c0,111.05,690,504,no,1
