image_id,label,scene_type,stability_issue_type,format_png_final_label,format_jpg_q95_final_label,resolution_flip_families,needs_manual_review
real_028,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_029,real,indoor_home,resolution_flip,ai,ai,jpg_q95;png,true
real_030,real,indoor_home,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_031,real,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
real_033,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_034,real,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
real_035,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_036,real,lowlight_weather,resolution_flip,real,real,jpg_q95;png,true
real_037,real,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
real_038,real,lowlight_weather,resolution_flip,real,real,jpg_q95;png,true
real_039,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_040,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_041,real,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
real_042,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_044,real,lowlight_weather,resolution_flip,ai,ai,jpg_q95;png,true
real_045,real,lowlight_weather,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_047,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_048,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_050,real,nature_travel,resolution_flip,real,real,jpg_q95;png,true
real_051,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_054,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_055,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_056,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_057,real,nature_travel,resolution_flip,real,real,jpg_q95;png,true
real_058,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_059,real,nature_travel,resolution_flip,real,real,jpg_q95;png,true
real_060,real,nature_travel,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_061,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_062,real,object_closeup,resolution_flip,ai,ai,jpg_q95;png,true
real_063,real,object_closeup,resolution_flip,real,real,jpg_q95;png,true
real_064,real,object_closeup,resolution_flip,ai,ai,jpg_q95;png,true
real_065,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_066,real,object_closeup,resolution_flip,real,real,jpg_q95;png,true
real_067,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_068,real,object_closeup,resolution_flip,ai,ai,jpg_q95;png,true
real_069,real,object_closeup,resolution_flip,real,real,jpg_q95;png,true
real_070,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_072,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_074,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_075,real,object_closeup,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_076,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_077,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_078,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_079,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_080,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_081,real,outdoor_street,resolution_flip,real,real,jpg_q95;png,true
real_082,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_084,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_085,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_086,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_087,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_088,real,outdoor_street,resolution_flip,real,real,jpg_q95;png,true
real_090,real,outdoor_street,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_091,real,people_partial,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_092,real,people_partial,resolution_flip,real,real,jpg_q95;png,true
real_094,real,people_partial,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_098,real,people_partial,resolution_flip,uncertain,uncertain,jpg_q95;png,true
real_099,real,people_partial,resolution_flip,ai,ai,jpg_q95;png,true
real_100,real,people_partial,resolution_flip,ai,ai,jpg_q95;png,true
